id,nome,data_nascimento,sexo,peso_kg,altura_m
45,pessoa_839,2021-08-10,M,17.8,1.0
46,pessoa_3907,1990-12-22,F,58.3,1.67
47,pessoa_3774,1975-03-13,M,63.3,1.77
48,pessoa_4636,1957-04-23,M,86.5,1.78
49,pessoa_3162,2005-11-08,M,73.1,1.76
50,pessoa_2660,2007-05-22,M,101.6,1.76
51,pessoa_4616,1954-06-20,M,58.7,1.56
52,pessoa_4629,1930-09-06,M,56.5,1.71
53,pessoa_2452,2005-08-10,F,63.8,1.77
54,pessoa_2847,1997-06-18,M,76.2,1.7
55,pessoa_1145,2005-09-17,F,47.1,1.53
56,pessoa_3079,2000-04-21,F,52.8,1.6
57,pessoa_1104,2005-07-13,F,60.7,1.65
58,pessoa_169,2021-08-01,F,15.4,0.97
59,pessoa_1671,1969-03-22,F,101.1,1.74
60,pessoa_2571,2010-06-04,M,65.3,1.66
61,pessoa_2378,1976-07-02,M,75.9,1.66
62,pessoa_4396,1947-09-06,M,62.7,1.75
63,pessoa_4258,1953-08-05,M,58.9,1.62
64,pessoa_3863,1995-09-20,F,54.5,1.65
65,pessoa_24,2024-04-26,M,10.0,0.67
66,pessoa_2634,2000-02-28,M,64.0,1.71
67,pessoa_3341,1991-07-10,F,72.3,1.71
68,pessoa_2216,1998-01-29,F,81.9,1.7
69,pessoa_3683,1983-12-05,F,51.3,1.61
70,pessoa_4725,1946-07-05,M,70.8,1.75
71,pessoa_1908,1975-08-30,M,96.2,1.7
72,pessoa_85,2016-12-26,F,32.7,1.34
73,pessoa_228,2016-09-02,F,27.5,1.26
74,pessoa_297,2025-06-08,M,5.5,0.55
75,pessoa_1002,1990-02-12,F,63.3,1.69
76,pessoa_2139,2010-10-06,F,73.8,1.64
77,pessoa_712,2020-11-23,F,16.7,1.0
78,pessoa_2802,2006-04-06,M,71.7,1.75
79,pessoa_2528,1967-04-02,M,62.6,1.76
80,pessoa_3753,1971-01-02,F,83.9,1.72
81,pessoa_3322,1987-07-05,F,61.3,1.49
82,pessoa_3182,2005-10-29,M,82.4,1.71
83,pessoa_4184,2011-08-31,M,52.6,1.56
84,pessoa_1616,2007-06-22,M,69.9,1.64
85,pessoa_3025,1993-03-03,M,95.4,1.72
86,pessoa_1414,1972-05-11,F,69.7,1.6
87,pessoa_764,2025-03-08,M,9.2,0.67
88,pessoa_656,2026-03-09,F,9.7,0.45
89,pessoa_4798,1936-10-23,M,61.9,1.72
90,pessoa_3850,1968-08-09,F,75.1,1.64
91,pessoa_4154,1973-08-06,F,56.2,1.69
92,pessoa_469,2020-08-13,M,20.5,0.99
93,pessoa_158,2021-05-30,M,26.8,1.08
94,pessoa_1296,1977-05-08,F,62.9,1.57
95,pessoa_498,2020-10-09,M,20.9,0.96
96,pessoa_4741,1932-02-24,M,76.1,1.71
97,pessoa_2941,1971-11-27,M,65.2,1.65
98,pessoa_3457,1990-08-11,F,62.7,1.64
99,pessoa_374,2024-02-25,F,12.9,0.88
100,pessoa_80,2016-09-01,M,37.0,1.33
101,pessoa_1554,2006-08-27,M,72.9,1.72
102,pessoa_1670,2006-05-20,M,63.7,1.81
103,pessoa_2132,1982-12-18,M,57.5,1.67
104,pessoa_4440,1938-08-31,F,58.1,1.49
105,pessoa_466,2022-12-13,F,15.4,0.91
106,pessoa_249,2015-11-13,F,51.2,1.45
107,pessoa_932,2016-03-26,F,31.2,1.37
108,pessoa_1336,1981-12-15,M,69.8,1.7
109,pessoa_4525,1958-07-09,M,88.2,1.81
110,pessoa_1339,1977-01-25,F,102.5,1.67
111,pessoa_1407,1994-06-16,F,72.7,1.63
112,pessoa_1091,1976-05-06,F,60.7,1.58
113,pessoa_4210,1989-11-03,F,72.9,1.67
114,pessoa_743,2015-05-10,F,44.5,1.48
115,pessoa_2324,1988-12-03,F,64.4,1.64
116,pessoa_3602,1998-09-18,M,63.3,1.84
117,pessoa_2124,1973-06-15,F,59.9,1.53
118,pessoa_2095,1999-10-02,M,83.8,1.75
119,pessoa_241,2016-10-05,M,22.3,1.18
120,pessoa_2352,1970-08-25,M,59.0,1.8
121,pessoa_1371,2013-06-19,M,55.7,1.4
122,pessoa_1058,1981-10-21,M,62.5,1.72
123,pessoa_4817,1962-04-13,F,58.7,1.5
124,pessoa_200,2018-10-30,M,21.4,1.19
125,pessoa_2281,1990-02-05,F,86.8,1.63
126,pessoa_4750,1955-01-29,F,66.4,1.63
127,pessoa_2221,1991-12-11,F,66.6,1.61
128,pessoa_4772,1945-07-22,M,73.8,1.58
129,pessoa_2820,1992-07-10,F,58.4,1.51
130,pessoa_3151,2008-12-28,M,57.1,1.73
131,pessoa_4257,1950-12-14,F,53.6,1.47
132,pessoa_3108,1995-10-10,M,67.4,1.84
133,pessoa_1974,1979-01-17,F,71.0,1.61
134,pessoa_1376,1987-02-28,F,64.7,1.61
135,pessoa_3969,1989-01-07,F,56.6,1.52
136,pessoa_4063,2006-10-07,M,130.3,1.78
137,pessoa_4446,1945-08-19,F,60.9,1.56
138,pessoa_3558,1984-06-16,F,56.9,1.62
139,pessoa_965,2018-06-10,M,36.8,1.24
140,pessoa_180,2019-12-02,F,33.5,1.21
141,pessoa_3699,1977-01-15,M,76.3,1.79
142,pessoa_3822,2007-04-02,F,76.0,1.63
143,pessoa_4879,1943-10-27,M,87.5,1.8
144,pessoa_3900,1985-09-03,F,76.5,1.69
145,pessoa_4488,1931-04-16,F,79.4,1.45
146,pessoa_3239,1987-04-18,M,63.0,1.68
147,pessoa_2975,1978-10-11,F,58.7,1.66
148,pessoa_3581,1998-08-03,M,70.2,1.79
149,pessoa_2888,2003-06-15,F,70.5,1.71
150,pessoa_2576,1997-06-08,M,50.9,1.73
151,pessoa_1420,1970-05-22,F,89.2,1.81
152,pessoa_3908,1984-03-29,F,50.6,1.57
153,pessoa_4674,1944-09-21,F,61.5,1.6
154,pessoa_4903,1932-09-25,F,41.6,1.55
155,pessoa_1861,2013-01-16,F,66.9,1.53
156,pessoa_9,2020-02-20,F,26.0,1.15
157,pessoa_2895,1985-08-23,M,65.2,1.78
158,pessoa_2848,1976-06-03,M,59.5,1.6
159,pessoa_3665,1970-09-12,M,64.0,1.69
160,pessoa_145,2015-06-17,M,32.2,1.39
161,pessoa_2105,2010-05-25,F,46.2,1.61
162,pessoa_3144,1977-04-03,M,74.1,1.79
163,pessoa_842,2019-10-26,M,20.8,1.08
164,pessoa_1129,1987-11-14,F,62.9,1.66
165,pessoa_152,2019-03-16,F,30.7,1.15
166,pessoa_3592,2001-06-11,F,53.1,1.51
167,pessoa_1053,1972-11-20,M,60.5,1.73
168,pessoa_1591,1977-05-17,F,88.2,1.68
169,pessoa_3009,1988-07-29,M,63.3,1.81
170,pessoa_2030,2001-11-28,F,54.9,1.54
171,pessoa_3419,1981-12-15,M,66.5,1.65
172,pessoa_1808,2001-05-17,M,67.9,1.7
173,pessoa_2697,1981-05-07,F,43.5,1.56
174,pessoa_3040,2004-09-05,M,78.8,1.69
175,pessoa_473,2023-10-05,M,9.3,0.72
176,pessoa_3290,1982-01-05,F,50.7,1.59
177,pessoa_4075,1992-06-02,F,60.9,1.6
178,pessoa_3497,2007-09-19,M,49.9,1.67
179,pessoa_280,2016-02-23,M,45.1,1.45
180,pessoa_1742,2008-09-23,F,69.3,1.62
181,pessoa_4625,1958-06-05,F,68.1,1.5
182,pessoa_2887,1978-11-22,F,52.8,1.63
183,pessoa_1942,2002-07-10,M,128.1,1.71
184,pessoa_101,2022-06-20,F,15.7,0.89
185,pessoa_2805,1984-03-02,M,87.3,1.75
186,pessoa_3571,1995-08-07,M,67.3,1.81
187,pessoa_3685,2006-03-03,M,71.0,1.77
188,pessoa_3662,1967-11-26,M,123.9,1.76
189,pessoa_531,2020-12-31,F,27.0,1.06
190,pessoa_1887,2008-10-09,F,74.6,1.53
191,pessoa_682,2017-08-24,F,24.5,1.2
192,pessoa_3795,1967-04-01,M,83.4,1.84
193,pessoa_3945,1983-07-27,M,76.9,1.68
194,pessoa_4667,1938-02-16,M,86.4,1.71
195,pessoa_2019,1994-08-01,F,66.4,1.63
196,pessoa_1097,1978-05-15,F,64.3,1.67
197,pessoa_830,2017-04-08,M,38.8,1.34
198,pessoa_2806,1984-04-15,F,48.4,1.54
199,pessoa_3830,1997-01-30,M,62.6,1.61
200,pessoa_4382,1932-09-02,M,77.8,1.6
201,pessoa_3892,1998-12-04,M,73.4,1.74
202,pessoa_765,2016-09-12,F,38.0,1.41
203,pessoa_2768,1967-10-22,M,78.7,1.78
204,pessoa_4329,1962-11-22,F,98.4,1.61
205,pessoa_3296,2005-12-04,F,62.1,1.7
206,pessoa_2195,1985-05-03,F,65.1,1.62
207,pessoa_2358,2004-11-11,F,87.8,1.63
208,pessoa_3426,2004-05-24,F,56.4,1.7
209,pessoa_3980,1995-02-12,F,57.3,1.65
210,pessoa_912,2025-02-12,M,3.6,0.66
211,pessoa_3146,2008-12-07,M,52.1,1.57
212,pessoa_1000,2025-08-15,F,9.2,0.52
213,pessoa_3654,1993-07-17,F,73.5,1.73
214,pessoa_2484,1984-09-18,F,54.4,1.6
215,pessoa_4077,1968-12-02,M,67.6,1.7
216,pessoa_2371,1990-02-01,M,88.2,1.73
217,pessoa_4839,1941-10-16,F,73.4,1.62
218,pessoa_34,2021-02-09,M,18.1,1.02
219,pessoa_3790,1996-06-07,F,60.1,1.65
220,pessoa_1021,2002-03-02,F,62.4,1.58
221,pessoa_1648,1973-10-02,F,60.7,1.63
222,pessoa_734,2024-03-26,M,11.7,0.81
223,pessoa_4583,1950-12-02,F,86.7,1.62
224,pessoa_3275,2013-01-28,F,41.5,1.52
225,pessoa_1621,1973-09-23,F,52.0,1.63
226,pessoa_3136,2009-09-06,M,49.2,1.63
227,pessoa_2690,1996-11-20,F,71.1,1.69
228,pessoa_2708,1982-06-03,F,68.8,1.7
229,pessoa_298,2014-12-06,M,43.2,1.51
230,pessoa_2340,1984-05-09,M,73.0,1.64
231,pessoa_654,2020-07-28,M,21.6,1.1
232,pessoa_3775,1981-01-14,F,61.8,1.6
233,pessoa_1256,2000-02-23,M,76.3,1.72
234,pessoa_4521,1939-04-04,F,62.8,1.64
235,pessoa_231,2014-06-04,F,40.0,1.51
236,pessoa_3277,2006-05-07,F,56.1,1.6
237,pessoa_3231,2009-11-16,F,56.6,1.55
238,pessoa_692,2017-06-01,M,25.2,1.17
239,pessoa_2755,1988-04-26,F,102.4,1.65
240,pessoa_4864,1941-07-04,F,74.2,1.62
241,pessoa_970,2025-04-20,M,7.3,0.49
242,pessoa_634,2023-04-10,M,12.7,0.86
243,pessoa_4093,2010-12-29,M,68.5,1.72
244,pessoa_4078,2002-09-18,F,60.8,1.66
245,pessoa_1322,2005-07-10,M,91.4,1.72
246,pessoa_1832,1974-06-28,F,47.1,1.48
247,pessoa_2179,1989-03-27,M,68.9,1.76
248,pessoa_1418,1997-02-13,M,99.7,1.76
249,pessoa_1783,2007-07-05,M,78.1,1.69
250,pessoa_4716,1931-11-06,M,76.5,1.72
251,pessoa_4702,1963-09-05,F,81.8,1.61
252,pessoa_4119,2003-02-20,F,58.6,1.57
253,pessoa_1653,1966-09-15,M,62.9,1.66
254,pessoa_1484,2007-12-26,M,47.0,1.58
255,pessoa_2276,1969-09-07,F,55.5,1.56
256,pessoa_878,2024-02-05,F,13.7,0.82
257,pessoa_3526,1968-10-05,F,84.8,1.63
258,pessoa_2017,1996-01-25,F,118.6,1.64
259,pessoa_427,2021-01-29,M,24.1,1.04
260,pessoa_627,2024-10-03,F,6.6,0.64
261,pessoa_1590,1998-09-23,F,70.0,1.69
262,pessoa_2224,2005-10-27,F,50.6,1.61
263,pessoa_2218,1980-05-17,F,83.6,1.74
264,pessoa_4484,1937-10-31,F,56.7,1.58
265,pessoa_1486,1969-12-28,M,67.1,1.57
266,pessoa_1740,1978-12-14,F,54.7,1.58
267,pessoa_2481,1996-08-21,F,52.0,1.56
268,pessoa_2585,2012-12-10,M,50.0,1.5
269,pessoa_2894,2012-02-02,F,44.5,1.46
270,pessoa_150,2019-09-21,F,19.7,1.07
271,pessoa_677,2015-07-11,F,32.0,1.41
272,pessoa_1262,1989-01-27,M,63.4,1.76
273,pessoa_4918,1954-02-24,M,72.2,1.69
274,pessoa_13,2018-12-13,F,24.7,1.15
275,pessoa_1834,2009-10-03,M,75.1,1.63
276,pessoa_3249,1972-10-11,F,61.4,1.76
277,pessoa_1492,2008-02-04,M,83.5,1.71
278,pessoa_2728,1980-01-16,M,108.6,1.72
279,pessoa_3687,2006-03-16,M,88.4,1.64
280,pessoa_1425,1993-11-30,M,62.9,1.7
281,pessoa_4606,1965-08-14,F,65.3,1.58
282,pessoa_4596,1936-11-11,M,71.0,1.71
283,pessoa_732,2021-02-28,M,19.3,1.04
284,pessoa_1232,1969-04-15,F,91.4,1.56
285,pessoa_1635,1985-09-02,M,62.8,1.61
286,pessoa_3937,2002-12-14,F,41.2,1.57
287,pessoa_1211,2002-02-27,F,74.6,1.62
288,pessoa_3269,1967-08-24,F,58.8,1.68
289,pessoa_1935,1998-10-14,F,49.9,1.54
290,pessoa_554,2023-02-03,M,13.2,0.82
291,pessoa_492,2017-06-15,F,26.7,1.23
292,pessoa_2963,1980-02-15,F,69.6,1.64
293,pessoa_2330,1996-08-18,F,86.2,1.71
294,pessoa_2196,2011-07-06,F,80.1,1.57
295,pessoa_3065,1996-09-29,F,54.2,1.61
296,pessoa_658,2021-08-29,F,16.2,0.95
297,pessoa_2375,1995-07-03,F,63.0,1.7
298,pessoa_2226,2010-05-25,M,51.0,1.56
299,pessoa_4265,1941-01-06,M,68.4,1.62
300,pessoa_1171,1981-03-05,M,59.6,1.75
301,pessoa_133,2025-12-03,F,5.8,0.6
302,pessoa_472,2017-10-21,M,21.7,1.17
303,pessoa_3226,1983-10-17,F,85.8,1.74
304,pessoa_1406,1990-02-26,M,50.5,1.66
305,pessoa_2877,2008-01-01,M,42.8,1.59
306,pessoa_4505,1960-04-29,F,45.6,1.55
307,pessoa_4693,1938-12-15,M,65.4,1.66
308,pessoa_2827,2001-12-05,M,75.3,1.67
309,pessoa_288,2014-06-30,F,35.4,1.4
310,pessoa_1870,1980-02-01,F,52.7,1.59
311,pessoa_3115,1979-04-05,M,94.5,1.7
312,pessoa_3626,1988-06-28,F,92.9,1.66
313,pessoa_2313,1992-06-28,M,123.9,1.71
314,pessoa_4924,1951-06-11,M,55.1,1.73
315,pessoa_1619,1989-05-20,F,67.7,1.67
316,pessoa_995,2021-01-31,F,18.4,0.98
317,pessoa_1804,1990-06-22,F,83.4,1.75
318,pessoa_2643,2003-10-24,F,78.6,1.79
319,pessoa_4803,1961-10-03,F,50.3,1.6
320,pessoa_3536,2013-02-28,M,53.7,1.47
321,pessoa_4832,1960-07-30,F,72.8,1.6
322,pessoa_3912,1966-06-17,M,90.3,1.68
323,pessoa_2108,2009-09-06,F,53.6,1.64
324,pessoa_3045,1968-02-25,F,54.2,1.61
325,pessoa_417,2021-02-04,F,20.1,1.09
326,pessoa_978,2018-10-04,M,23.8,1.21
327,pessoa_2418,1985-05-26,F,84.4,1.66
328,pessoa_506,2020-02-07,M,20.1,1.05
329,pessoa_4153,2002-02-01,M,66.2,1.72
330,pessoa_4256,1949-02-03,F,69.4,1.57
331,pessoa_3942,1998-01-01,F,58.9,1.62
332,pessoa_415,2024-03-07,F,13.2,0.89
333,pessoa_4149,1998-02-27,F,80.9,1.71
334,pessoa_1184,1996-07-12,M,75.0,1.69
335,pessoa_486,2024-08-21,M,4.3,0.68
336,pessoa_894,2023-02-11,M,16.6,0.77
337,pessoa_806,2020-12-17,M,15.3,1.02
338,pessoa_556,2025-02-27,F,6.9,0.68
339,pessoa_3826,1976-02-21,F,82.3,1.61
340,pessoa_1198,1979-04-24,F,64.3,1.58
341,pessoa_4254,1939-03-17,F,66.3,1.54
342,pessoa_4059,1995-06-20,M,78.8,1.71
343,pessoa_1294,1996-03-29,M,62.5,1.73
344,pessoa_2222,1997-01-29,M,64.9,1.62
345,pessoa_3505,2013-01-19,F,49.0,1.39
346,pessoa_3655,1990-11-22,F,58.9,1.6
347,pessoa_4759,1958-10-22,M,60.9,1.64
348,pessoa_3007,1990-09-19,M,92.4,1.81
349,pessoa_2094,2008-02-08,M,68.2,1.72
350,pessoa_2188,1988-09-16,F,58.2,1.65
351,pessoa_3037,1981-03-09,F,53.4,1.55
352,pessoa_3919,2005-06-11,F,71.3,1.67
353,pessoa_1273,2007-06-26,F,52.7,1.6
354,pessoa_291,2023-11-03,M,7.5,0.66
355,pessoa_4828,1938-05-01,F,89.6,1.64
356,pessoa_253,2018-12-23,F,25.8,1.17
357,pessoa_3246,2008-05-18,F,58.9,1.75
358,pessoa_351,2021-01-29,F,16.1,1.01
359,pessoa_1188,1979-12-24,M,76.2,1.8
360,pessoa_1962,2010-09-29,M,42.6,1.63
361,pessoa_423,2023-03-21,M,11.4,0.85
362,pessoa_91,2020-04-21,M,15.7,1.01
363,pessoa_3730,1982-05-12,F,66.2,1.6
364,pessoa_2237,1976-06-29,M,63.0,1.76
365,pessoa_671,2024-04-07,M,14.9,0.9
366,pessoa_3041,1967-03-08,F,66.7,1.63
367,pessoa_27,2022-02-07,F,24.2,0.95
368,pessoa_430,2018-05-17,M,33.5,1.24
369,pessoa_684,2020-02-14,M,23.3,1.1
370,pessoa_4464,1938-06-17,F,73.6,1.61
371,pessoa_3946,2008-12-01,F,61.1,1.61
372,pessoa_3524,1972-11-04,M,106.9,1.69
373,pessoa_1542,1986-09-06,F,89.4,1.61
374,pessoa_2032,2002-02-10,M,60.9,1.67
375,pessoa_2233,1973-10-25,F,52.4,1.58
376,pessoa_4121,2005-12-15,M,79.8,1.7
377,pessoa_3236,1987-07-25,M,64.3,1.63
378,pessoa_255,2025-12-24,M,10.3,0.5
379,pessoa_1030,1971-06-29,F,62.2,1.65
380,pessoa_4393,1933-02-09,F,50.2,1.63
381,pessoa_3801,1993-10-08,M,62.0,1.88
382,pessoa_4311,1935-03-23,M,72.9,1.68
383,pessoa_2510,2011-12-30,F,48.2,1.58
384,pessoa_2293,2009-05-05,F,57.3,1.58
385,pessoa_1324,1995-02-04,F,75.3,1.6
386,pessoa_1551,2003-04-02,F,57.3,1.68
387,pessoa_4648,1953-11-18,F,79.0,1.67
388,pessoa_316,2017-05-14,F,23.4,1.16
389,pessoa_1243,2005-07-22,M,75.7,1.79
390,pessoa_2451,2002-10-09,M,98.7,1.62
391,pessoa_1579,1987-01-25,M,81.2,1.71
392,pessoa_4626,1938-10-10,M,78.1,1.67
393,pessoa_3117,1980-03-02,M,50.8,1.67
394,pessoa_70,2014-11-25,F,39.3,1.54
395,pessoa_860,2014-06-03,M,33.2,1.46
396,pessoa_2754,1981-11-22,F,50.1,1.59
397,pessoa_1633,1997-09-11,F,64.2,1.62
398,pessoa_1651,1993-10-28,F,60.0,1.69
399,pessoa_3861,1966-08-06,M,81.3,1.76
400,pessoa_3107,1983-03-09,F,78.9,1.57
401,pessoa_1075,1989-10-19,F,54.4,1.5
402,pessoa_4002,1970-12-12,M,70.8,1.78
403,pessoa_788,2023-04-22,M,13.4,0.91
404,pessoa_2606,2003-06-01,F,50.3,1.62
405,pessoa_3631,2000-09-20,M,126.7,1.76
406,pessoa_2122,2007-11-16,F,64.7,1.75
407,pessoa_1875,1973-07-16,F,81.0,1.71
408,pessoa_812,2017-06-10,M,32.3,1.26
409,pessoa_388,2017-06-18,M,28.2,1.2
410,pessoa_2883,1974-08-24,F,70.7,1.67
411,pessoa_1176,1979-08-28,F,75.5,1.71
412,pessoa_3198,2011-03-29,F,53.0,1.56
413,pessoa_2624,1994-08-13,F,61.2,1.57
414,pessoa_1352,2002-11-26,F,61.7,1.72
415,pessoa_411,2023-07-26,F,10.5,0.77
416,pessoa_4213,2013-07-23,M,45.2,1.51
417,pessoa_110,2025-07-26,F,12.3,0.49
418,pessoa_4996,1948-11-26,M,100.1,1.75
419,pessoa_3430,2007-08-15,M,75.1,1.79
420,pessoa_2810,1969-04-18,F,57.4,1.61
421,pessoa_2595,1981-10-04,F,62.4,1.73
422,pessoa_2837,2003-12-10,F,49.3,1.53
423,pessoa_2373,1979-11-08,F,53.8,1.58
424,pessoa_1236,2002-12-03,F,71.5,1.55
425,pessoa_2147,1973-09-14,M,64.6,1.75
426,pessoa_4976,1962-04-10,M,74.0,1.79
427,pessoa_600,2020-07-13,M,15.9,1.06
428,pessoa_1435,1991-02-03,F,63.3,1.72
429,pessoa_4997,1940-08-15,F,81.8,1.45
430,pessoa_539,2017-10-26,F,19.6,1.18
431,pessoa_722,2021-04-03,F,31.0,1.08
432,pessoa_4411,1956-10-15,M,72.9,1.69
433,pessoa_1873,1994-10-15,F,54.0,1.55
434,pessoa_2846,1992-03-07,M,83.4,1.74
435,pessoa_2054,1997-03-05,M,55.4,1.62
436,pessoa_2908,1987-03-16,F,53.8,1.66
437,pessoa_2255,2009-09-27,F,40.0,1.65
438,pessoa_3913,1981-06-17,M,57.1,1.68
439,pessoa_178,2023-02-08,F,15.3,0.93
440,pessoa_2891,1975-05-04,M,108.0,1.83
441,pessoa_3674,1993-04-25,M,70.9,1.79
442,pessoa_81,2020-05-09,F,20.1,1.06
443,pessoa_2562,2001-12-04,F,67.8,1.69
444,pessoa_1724,2011-02-11,F,43.9,1.5
445,pessoa_1618,1990-03-02,F,79.4,1.57
446,pessoa_1655,1997-08-30,M,73.2,1.77
447,pessoa_2329,1992-09-25,F,55.0,1.6
448,pessoa_4614,1964-09-24,F,41.7,1.45
449,pessoa_222,2022-03-05,F,17.2,0.97
450,pessoa_94,2024-01-24,M,13.6,0.82
451,pessoa_2610,1985-10-12,M,87.8,1.85
452,pessoa_3383,2006-03-07,F,68.7,1.65
453,pessoa_4416,1956-04-10,F,66.4,1.66
454,pessoa_1398,1968-10-19,F,49.8,1.66
455,pessoa_4687,1941-07-22,F,71.1,1.67
456,pessoa_1293,1993-02-08,F,58.5,1.62
457,pessoa_2165,1968-01-02,M,94.7,1.74
458,pessoa_2940,1984-12-14,F,60.7,1.52
459,pessoa_3669,2006-10-04,M,132.9,1.76
460,pessoa_813,2025-02-23,M,9.8,0.77
461,pessoa_1259,1988-01-08,F,82.9,1.62
462,pessoa_890,2024-08-31,F,7.1,0.64
463,pessoa_1452,1985-10-10,F,94.8,1.69
464,pessoa_3317,1974-09-29,F,58.0,1.58
465,pessoa_2560,2010-12-27,F,45.8,1.53
466,pessoa_3575,2007-08-03,F,46.7,1.54
467,pessoa_2681,1970-05-20,M,100.2,1.78
468,pessoa_4652,1943-09-19,F,72.8,1.56
469,pessoa_4812,1937-06-06,M,89.1,1.68
470,pessoa_4680,1948-07-31,M,97.0,1.67
471,pessoa_2965,1980-08-04,F,58.3,1.55
472,pessoa_2673,1976-03-25,M,89.4,1.77
473,pessoa_562,2014-10-07,M,39.3,1.45
474,pessoa_2779,2007-06-23,M,97.4,1.79
475,pessoa_2949,1998-04-28,M,66.7,1.63
476,pessoa_2818,2009-10-17,M,64.0,1.76
477,pessoa_2759,2005-04-26,F,63.3,1.6
478,pessoa_1757,1993-03-29,M,93.0,1.84
479,pessoa_725,2024-03-05,F,11.4,0.84
480,pessoa_220,2020-01-22,F,21.4,1.03
481,pessoa_4140,1996-02-08,F,76.7,1.7
482,pessoa_3958,1973-07-31,M,64.7,1.64
483,pessoa_1589,1971-01-29,M,71.8,1.78
484,pessoa_3348,1972-12-26,M,84.5,1.71
485,pessoa_3971,2004-07-05,F,60.2,1.49
486,pessoa_4708,1948-08-19,F,69.0,1.6
487,pessoa_44,2023-10-02,F,11.6,0.81
488,pessoa_3002,1971-07-20,F,62.4,1.54
489,pessoa_211,2014-07-08,F,34.5,1.29
490,pessoa_678,2018-12-31,M,30.6,1.17
491,pessoa_355,2014-08-05,F,32.8,1.48
492,pessoa_1434,1990-06-02,F,52.3,1.56
493,pessoa_950,2017-06-14,F,24.1,1.3
494,pessoa_2844,1993-07-12,M,57.7,1.66
495,pessoa_578,2014-12-01,F,27.9,1.3
496,pessoa_3929,1973-01-15,F,65.2,1.66
497,pessoa_545,2019-04-03,F,18.3,1.14
498,pessoa_368,2018-03-11,F,24.3,1.22
499,pessoa_1613,1982-02-06,F,56.2,1.52
500,pessoa_3551,2005-08-18,F,44.0,1.48
501,pessoa_3717,1983-02-11,F,74.8,1.62
502,pessoa_3780,2000-06-28,F,78.7,1.61
503,pessoa_136,2015-09-16,M,33.1,1.36
504,pessoa_4481,1948-07-01,F,50.1,1.63
505,pessoa_1438,1997-10-01,M,87.9,1.75
506,pessoa_48,2023-04-18,F,19.7,1.04
507,pessoa_1361,1984-05-05,F,60.0,1.69
508,pessoa_735,2023-02-11,F,15.1,0.82
509,pessoa_1535,1983-07-19,M,71.8,1.65
510,pessoa_2005,1999-09-30,F,60.4,1.51
511,pessoa_3796,1996-09-06,M,65.1,1.8
512,pessoa_2520,1983-05-05,M,66.6,1.71
513,pessoa_1973,1999-06-18,F,81.1,1.73
514,pessoa_997,2020-10-25,M,33.3,1.11
515,pessoa_62,2023-05-19,M,12.7,0.85
516,pessoa_1109,2008-10-21,F,48.7,1.67
517,pessoa_2406,2012-09-09,F,56.5,1.58
518,pessoa_96,2024-06-24,F,7.8,0.65
519,pessoa_479,2016-07-12,F,36.0,1.29
520,pessoa_4360,1938-07-26,M,68.3,1.64
521,pessoa_4113,1990-09-24,F,59.9,1.59
